location_slug,product_slug,stock_count
taproom-austin,golden-horizon-lager,48
taproom-austin,midnight-stout,24
taproom-austin,pacific-haze-ipa,36
taproom-austin,summer-wheat,12
taproom-austin,copper-trail-amber,30
taproom-austin,classic-pilsner,42
taproom-austin,dark-roast-porter,18
taproom-austin,session-pale,24
taproom-austin,oktoberfest-marzen,0
taproom-austin,breakfast-stout,6
taproom-austin,citrus-radler,36
taproom-austin,double-dry-hopped-ipa,12
taproom-austin,belgian-tripel,8
taproom-denver,golden-horizon-lager,36
taproom-denver,midnight-stout,18
taproom-denver,pacific-haze-ipa,48
taproom-denver,summer-wheat,24
taproom-denver,copper-trail-amber,12
taproom-denver,classic-pilsner,30
taproom-denver,dark-roast-porter,24
taproom-denver,session-pale,42
taproom-denver,oktoberfest-marzen,18
taproom-denver,breakfast-stout,12
taproom-denver,citrus-radler,0
taproom-denver,double-dry-hopped-ipa,24
taproom-denver,belgian-tripel,6
taproom-seattle,golden-horizon-lager,24
taproom-seattle,midnight-stout,36
taproom-seattle,pacific-haze-ipa,42
taproom-seattle,summer-wheat,18
taproom-seattle,copper-trail-amber,24
taproom-seattle,classic-pilsner,12
taproom-seattle,dark-roast-porter,30
taproom-seattle,session-pale,0
taproom-seattle,oktoberfest-marzen,24
taproom-seattle,breakfast-stout,18
taproom-seattle,citrus-radler,24
taproom-seattle,double-dry-hopped-ipa,36
taproom-seattle,belgian-tripel,12
taproom-portland,golden-horizon-lager,18
taproom-portland,midnight-stout,12
taproom-portland,pacific-haze-ipa,30
taproom-portland,summer-wheat,36
taproom-portland,copper-trail-amber,0
taproom-portland,classic-pilsner,24
taproom-portland,dark-roast-porter,12
taproom-portland,session-pale,18
taproom-portland,oktoberfest-marzen,30
taproom-portland,breakfast-stout,24
taproom-portland,citrus-radler,42
taproom-portland,double-dry-hopped-ipa,18
taproom-portland,belgian-tripel,24
taproom-san-diego,golden-horizon-lager,42
taproom-san-diego,midnight-stout,0
taproom-san-diego,pacific-haze-ipa,24
taproom-san-diego,summer-wheat,48
taproom-san-diego,copper-trail-amber,36
taproom-san-diego,classic-pilsner,18
taproom-san-diego,dark-roast-porter,6
taproom-san-diego,session-pale,30
taproom-san-diego,oktoberfest-marzen,12
taproom-san-diego,breakfast-stout,0
taproom-san-diego,citrus-radler,48
taproom-san-diego,double-dry-hopped-ipa,30
taproom-san-diego,belgian-tripel,18
